id,radius,ra,dec,transparency,stellarradius
GJ 357,9.4418100,144.0074644,-21.6650634,-1.798,0.34
GJ 3634,20.3779000,164.6433493,-31.1443383,-1.699,0.43
GJ 367,9.4126300,146.1214640,-45.7790165,-1.541,0.46
GJ 3779,13.7430000,200.7335358,24.4639425,-2.062,0.28
GJ 3929,15.8095000,239.5775678,35.4081141,-1.937,0.32
GJ 393,7.0314900,157.2288672,0.8378485,-1.571,0.43
GJ 3942,16.9287000,242.2645452,52.9441443,-1.12,0.61
GJ 3988,9.9105000,255.8503747,51.4089795,-2.395,0.20
GJ 3998,18.1459000,259.0020507,11.0561751,-1.387,0.49
GJ 411,5.6757730,165.8344710,35.9723170,-1.71,0.39
GJ 414 A,11.8893000,167.7745044,30.4451688,-0.924,0.68
GJ 4276,21.3362000,336.3221454,59.4125030,-1.706,0.41
GJ 436,9.7532100,175.5505363,26.7030669,-1.585,0.46
GJ 486,8.0742600,191.9815310,9.7494181,-1.916,0.34
GJ 514,7.6177800,202.5040424,10.3725387,-1.367,0.50
GJ 536,10.4092000,210.2597264,-2.6522901,-1.373,0.51
GJ 581,6.2981000,229.8564725,-7.7226935,-1.886,0.29
GJ 625,6.4724900,246.3557854,54.3033625,-1.894,0.31
GJ 649,10.3796000,254.5363221,25.7419719,-1.361,0.50
GJ 685,14.3155000,263.8960378,61.6793482,-1.253,0.54
GJ 687,4.5493900,264.1041731,68.3336741,-1.672,0.42
GJ 720 A,15.5575000,278.8294172,45.7456038,-1.217,0.56
GJ 724,16.9658000,280.2383650,-13.3824997,-1.291,0.52
GJ 740,11.1017000,284.4997178,5.9028670,-1.206,0.56
GJ 806,12.0445000,311.2697002,44.5002351,-1.585,0.41
GJ 849,8.8005800,332.4229938,-4.6408317,-1.59,0.45
GJ 876,4.6751700,343.3239737,-14.2665958,-1.893,0.35
GJ 887,3.2900000,346.4668274,-35.8530693,-1.434,0.47
GJ 9066,4.4710000,30.0588307,13.0443172,-2.595,0.16
GJ 9689,30.6203000,303.4677310,13.3888921,-1.2,0.57
GPX-1,655.0130000,38.3691648,56.0257080,0.727,1.56
GSC 06214-00210,108.5000000,245.4776921,-20.7193398,-0.546,0.90
Gl 378,14.9545000,150.5865513,48.0824515,-1.222,0.56
Gl 49,9.8528000,15.6687321,62.3454386,-1.306,0.51
Gl 686,8.1572800,264.4764878,18.5959509,-1.523,0.43
Gliese 12,12.2100000,3.9579137,13.5576175,-2.131,0.27
HAT-P-1,158.9790000,344.4453632,38.6749190,0.225,1.18
HAT-P-11,37.7647000,297.7101763,48.0818635,-0.585,0.75
HAT-P-12,142.7510000,209.3886452,43.4933100,-0.68,0.70
HAT-P-13,246.8100000,129.8823772,47.3519076,0.346,1.56
HAT-P-14,222.6630000,260.1161719,38.2421682,0.644,1.55
HAT-P-15,192.5160000,66.2481420,39.4606020,0,1.08
HAT-P-16,226.6370000,9.5730343,42.4630961,0.294,1.24
HAT-P-17,92.3831000,324.5359781,30.4881882,-0.289,0.84
HAT-P-18,161.4000000,256.3463760,33.0123251,-0.569,0.75
HAT-P-19,202.0780000,9.5165832,34.7114025,-0.432,0.82
HAT-P-2,127.7740000,245.1514324,41.0479601,0.485,1.47
HAT-P-20,71.0374000,111.9164295,24.3361185,-0.73,0.68
HAT-P-21,277.2780000,171.2749348,41.0280207,0.025,1.10
HAT-P-22,81.7647000,155.6814593,50.1287115,-0.114,1.04
HAT-P-23,364.8130000,306.1239076,16.7621462,0.199,1.20
HAT-P-24,415.3440000,108.8251171,14.2626064,0.408,1.32
HAT-P-25,300.3840000,48.4354731,25.1973548,-0.134,0.91
HAT-P-26,141.8370000,213.1565508,4.0594175,-0.42,0.79
HAT-P-27,199.1730000,222.7673221,5.9473626,-0.244,0.90
HAT-P-28,401.3190000,13.0009159,34.7284020,0.053,1.10
HAT-P-29,313.5760000,33.1310921,51.7787754,0.272,1.23
HAT-P-3,134.5540000,206.0940142,48.0285650,-0.348,0.83
HAT-P-30,213.9850000,123.9498431,5.8368669,0.312,1.22
HAT-P-31,344.0500000,271.5376722,26.4266061,0.433,1.47
HAT-P-32,289.2050000,31.0427614,46.6878512,0.294,1.22
HAT-P-33,396.1100000,113.1842383,33.8350214,0.618,1.64
HAT-P-34,249.3250000,303.1954355,18.1047776,0.6,1.57
HAT-P-35,506.9650000,123.2507030,4.7870288,0.407,1.44
HAT-P-36,294.4190000,188.2662048,44.9153672,0.013,1.10
HAT-P-37,390.5940000,284.2960393,51.2691212,-0.208,0.88
HAT-P-38,255.2060000,35.3834942,32.2460441,-0.208,0.92
HAT-P-39,697.0040000,113.7582526,17.8300283,0.607,1.62
HAT-P-4,320.4510000,229.9912200,36.2295450,0.428,1.59
HAT-P-40,464.4690000,335.5129199,45.4573423,0.778,2.21
HAT-P-41,348.1850000,297.3226523,4.6724124,0.628,1.68
HAT-P-42,405.2380000,135.3443583,6.0970828,0.356,1.53
HAT-P-43,528.8250000,128.9256885,10.2065866,0.045,1.10
HAT-P-44,347.8500000,213.1438604,47.0147826,-0.194,0.95
HAT-P-45,298.6400000,274.3732697,-3.3810594,0.4,1.32
HAT-P-46,290.7360000,270.4441831,-2.9709800,0.391,1.40
HAT-P-49,350.3510000,305.4413294,26.6926759,0.814,1.83
HAT-P-5,303.3360000,274.4055335,36.6214617,0.187,1.17
HAT-P-50,515.4580000,118.0634379,12.1393474,0.603,1.70
HAT-P-51,440.0890000,21.0651251,32.8107000,-0.066,1.04
HAT-P-52,361.1550000,42.7217412,29.0222492,-0.305,0.89
HAT-P-53,666.8020000,21.8711012,38.9681137,0.217,1.21
HAT-P-54,143.6510000,99.8979924,25.4824005,-0.902,0.62
HAT-P-55,511.3880000,264.2735096,25.7311468,0.097,1.10
HAT-P-57,279.8600000,274.7434180,10.5971968,0.806,1.50
HAT-P-58,515.5900000,68.8465093,56.8682691,0.456,1.53
HAT-P-59,265.4710000,292.4588212,62.5291892,0.054,1.10
HAT-P-6,275.3580000,354.7740917,42.4659866,0.553,1.46
HAT-P-60,233.2200000,28.2825719,52.0539209,0.809,2.20
HAT-P-61,338.8400000,75.4801665,50.1311784,-0.115,0.94
HAT-P-62,348.8150000,74.5043816,48.3008551,0.091,1.17
HAT-P-63,403.4580000,269.5720695,5.7613709,-0.146,0.97
HAT-P-64,651.8970000,68.9743955,2.4312732,0.668,1.74
HAT-P-65,738.5190000,315.9054895,11.9893675,0.555,1.86
HAT-P-66,935.4560000,150.5726262,53.9508237,0.615,1.88
HAT-P-67,371.6860000,256.6107279,44.7768849,0.939,2.55
HAT-P-68,202.1520000,118.4831501,23.9382192,-0.779,0.67
HAT-P-69,341.2630000,130.5056385,3.7105662,1,1.93
HAT-P-7,341.0790000,292.2471900,47.9695429,0.814,1.99
HAT-P-70,330.7390000,74.5523332,9.9979794,1.223,1.86
HAT-P-8,211.5530000,343.0414932,35.4471778,0.519,1.58
HAT-P-9,455.2030000,110.1685157,37.1405946,0.41,1.32
HATS-1,283.9710000,175.5252399,-23.3548451,0.041,1.04
HATS-10,534.8890000,294.3068385,-22.2044872,0.117,1.10
HATS-11,944.6030000,289.4007603,-22.3900092,0.403,1.44
HATS-12,746.1380000,289.2024020,-19.3559227,0.863,2.21
HATS-15,1139.5500000,311.0920041,-19.4375266,-0.204,0.92
HATS-16,757.0440000,358.5588439,-30.0130385,0.173,1.24
HATS-17,400.3310000,192.1895676,-47.6136789,0.093,1.09
HATS-18,624.3680000,173.9574203,-29.1560639,-0.032,1.02
HATS-2,341.9250000,176.7388264,-22.5630097,-0.268,0.90
HATS-22,229.5180000,174.0098693,-29.5433642,-0.646,0.69
HATS-23,639.0040000,286.3667500,-50.0673496,0.155,1.20
HATS-24,494.1820000,268.8907069,-61.7474000,0.19,1.12
HATS-25,471.1580000,207.9076746,-23.7812403,0.068,1.11
HATS-26,861.8430000,144.9268593,-28.5856004,0.704,2.04
HATS-27,816.9880000,193.5524603,-46.5877159,0.669,1.74
HATS-28,535.3830000,284.3997616,-49.1385126,-0.157,0.92
HATS-29,353.8910000,285.0965172,-54.8933408,0.029,1.07
HATS-3,411.2110000,312.4574879,-24.4286938,0.456,1.40
HATS-30,342.1400000,5.6185250,-59.9425892,0.097,1.06
HATS-31,773.9740000,191.7028214,-24.4273897,0.619,1.87
HATS-32,745.1160000,346.0750861,-21.2720168,0.057,1.10
HATS-33,248.4600000,294.6336944,-55.3302692,-0.018,1.02
HATS-34,508.8420000,0.7744866,-62.4693167,-0.14,0.98
HATS-35,514.5550000,296.6884420,-63.5656488,0.465,1.43
HATS-36,856.4360000,291.4787013,-23.2028183,0.215,1.16
HATS-37 A,211.8960000,199.8018300,-22.9868431,-0.256,0.88
HATS-38,343.5250000,154.2710615,-25.2762982,0.072,1.10
HATS-39,878.5210000,112.4192251,-29.9379163,0.64,1.62
HATS-4,416.4590000,94.1120914,-22.5468824,-0.187,0.93
HATS-40,1342.2900000,100.5712467,-29.7767800,0.903,2.26
HATS-41,737.6680000,103.5173558,-27.0504156,0.653,1.71
HATS-42,800.3770000,108.4523991,-33.4373462,0.425,1.48
HATS-43,362.2730000,80.5382418,-30.9708179,-0.398,0.81
HATS-44,446.0350000,84.3267559,-27.9725758,-0.398,0.85
HATS-45,772.1100000,101.9942455,-21.9107112,0.425,1.31
HATS-46,453.8080000,6.7026401,-56.3161021,-0.23,0.85
HATS-47,300.6700000,287.4844021,-49.6649424,-0.796,0.66
HATS-48 A,263.6090000,288.6720048,-59.5793505,-0.709,0.72
HATS-49,324.4130000,6.6135927,-56.3442798,-0.785,0.70
HATS-5,246.3840000,67.2228465,-21.4820568,-0.268,0.87
HATS-50,756.7420000,300.4280761,-26.0775640,0.143,1.12
HATS-51,389.5700000,102.8474248,-29.0586551,0.31,1.44
HATS-52,555.1340000,140.0875894,-31.2692116,0.068,1.05
HATS-53,585.7700000,176.6283230,-33.8600764,0.045,1.10
HATS-54,748.5850000,200.6348641,-44.6888393,0.115,1.23
HATS-55,609.8380000,114.2833819,-32.7554188,0.229,1.13
HATS-56,564.4090000,180.1650720,-45.7994559,0.898,2.20
HATS-57,279.4850000,60.9482779,-19.0568182,-0.094,0.96
HATS-58 A,403.5910000,186.7873036,-48.9784105,0.689,1.43
HATS-59,642.8840000,170.3243250,-22.3881770,-0.004,1.04
